trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
7527732730651522,11:44:00,11:44:00,2463,3,,
7527732730651522,11:45:00,11:45:00,2430,4,,
7527732740651522,10:29:00,10:29:00,2539,1,,
7527732740651522,10:30:00,10:30:00,2393,2,,
7527732740651522,10:32:00,10:32:00,2463,3,,
7527732740651522,10:33:00,10:33:00,2430,4,,
7527732750651522,13:14:00,13:14:00,2539,1,,
7527732750651522,13:15:00,13:15:00,2393,2,,
7527732750651522,13:17:00,13:17:00,2463,3,,
7527732750651522,13:18:00,13:18:00,2430,4,,
7527732760651522,13:14:00,13:14:00,2539,1,,
7527732760651522,13:15:00,13:15:00,2393,2,,
7527732760651522,13:17:00,13:17:00,2463,3,,
7527732760651522,13:18:00,13:18:00,2430,4,,
7527732770651522,10:33:00,10:33:00,2539,1,,
7527732770651522,10:34:00,10:34:00,2393,2,,
7527732770651522,10:36:00,10:36:00,2463,3,,
7527732770651522,10:37:00,10:37:00,2430,4,,
7627732720651522,14:31:00,14:31:00,2539,1,,
7627732720651522,14:32:00,14:32:00,2393,2,,
7627732720651522,14:34:00,14:34:00,2463,3,,
7627732720651522,14:35:00,14:35:00,2430,4,,
7627732730651522,11:46:00,11:46:00,2539,1,,
7627732730651522,11:47:00,11:47:00,2393,2,,
7627732730651522,11:49:00,11:49:00,2463,3,,
7627732730651522,11:50:00,11:50:00,2430,4,,
7627732740651522,10:34:00,10:34:00,2539,1,,
7627732740651522,10:35:00,10:35:00,2393,2,,
7627732740651522,10:36:00,10:36:00,2463,3,,
7627732740651522,10:37:00,10:37:00,2430,4,,
7627732750651522,13:20:00,13:20:00,2539,1,,
7627732750651522,13:21:00,13:21:00,2393,2,,
7627732750651522,13:22:00,13:22:00,2463,3,,
7627732750651522,13:23:00,13:23:00,2430,4,,
7627732760651522,13:20:00,13:20:00,2539,1,,
7627732760651522,13:21:00,13:21:00,2393,2,,
7627732760651522,13:22:00,13:22:00,2463,3,,
7627732760651522,13:23:00,13:23:00,2430,4,,
7627732770651522,10:37:00,10:37:00,2539,1,,
7627732770651522,10:38:00,10:38:00,2393,2,,
7627732770651522,10:40:00,10:40:00,2463,3,,
7627732770651522,10:41:00,10:41:00,2430,4,,
7727732720651522,14:36:00,14:36:00,2539,1,,
7727732720651522,14:37:00,14:37:00,2393,2,,
7727732720651522,14:39:00,14:39:00,2463,3,,
7727732720651522,14:40:00,14:40:00,2430,4,,
7727732730651522,11:51:00,11:51:00,2539,1,,
7727732730651522,11:52:00,11:52:00,2393,2,,
7727732730651522,11:53:00,11:53:00,2463,3,,
7727732730651522,11:54:00,11:54:00,2430,4,,
7727732740651522,10:38:00,10:38:00,2539,1,,
7727732740651522,10:39:00,10:39:00,2393,2,,
7727732740651522,10:40:00,10:40:00,2463,3,,
7727732740651522,10:41:00,10:41:00,2430,4,,
7727732750651522,13:25:00,13:25:00,2539,1,,
7727732750651522,13:26:00,13:26:00,2393,2,,
7727732750651522,13:28:00,13:28:00,2463,3,,
7727732750651522,13:29:00,13:29:00,2430,4,,
7727732760651522,13:25:00,13:25:00,2539,1,,
7727732760651522,13:26:00,13:26:00,2393,2,,
7727732760651522,13:28:00,13:28:00,2463,3,,
